CxContactTimes,CxGoalMostImpCP4,CxGoalMostImpCP4[other],CxGoalAchieve,CxSenseBelongPre,CxSenseBelong,QSPS1[SQ1],QSPS1[SQ2],QSPS1[SQ3],QSPS1[SQ4],QSPS1[SQ5],SPSScore,CxSPS1,CxSenseBelongInd,CxSenseBelongDif,CxGoalAchievSum,QAgeN,CxGenderFMD,CxGenderFMD[other],CxTransgender,CxIdentity[CxBlack],CxIdentity[CxPOC],CxIdentity[CxFNIM],CxIdentity[CxLGBTQ],CxIdentity[CxPersonDisab],CxIdentity[CxFrancophone],CxIdentity[CxNA],CxIdentity[CxDK],CxIdentity[CxRF],QFSA,CxAgeOTF
A2,A3,,A5,A3,A3,,,,,,0,RF,A2,A2   ,A1,74,F,,N,,,,,,,Y,,,L7P,A6
A2,A6,,A5,A4,A4,,,,,,0,RF,A2,A2   ,A1,83,F,,,,,,,,,Y,,,L7T,A6
A1,A2,,A5,,A2,,,,,,0,RF,A1,A2   ,A1,84,M,,N,,,,,,,Y,,,L6L,A6
A2,-oth-,"Enjoy the program, entertainment, feel more relaxed",A5,A4,A3,,,,,,0,RF,A2,A2   ,A1,59,F,,N,,,Y,,,,,,,L6K,A5
A3,A6,,A4,A3,A3,,,,,,0,RF,A2,A2   ,A1,73,F,,N,,,,,,,Y,,,L7P,A6
A1,A4,,A2,,A2,,,,,,0,RF,A1,A2   ,A2,85,F,,N,,,,,,,Y,,,L6H,A6
A1,A2,,A4,,A2,,,,,,0,RF,A1,A2   ,A1,72,M,,N,,,,,,,Y,,,L7M,A6
A3,-oth-,Activity for my mom,A4,A2,A2,,,,,,0,RF,A1,A2   ,A1,62,F,,N,,,,,,,Y,,,L6k,A5
A3,A2,,A4,A3,A3,,,,,,0,RF,A2,A2   ,A1,87,F,,N,,,,,,,Y,,,L7T,A6
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,41,F,,N,,Y,,,,,,,,L5R,A4
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,41,F,,N,,Y,,,,,,,,L5R,A4
A1,A3,,RF,,,,,,,,0,RF,RF,A2   ,RF,73,M,,N,Y,Y,Y,,Y,Y,,,,L5M,A6
A1,A3,,A4,,A3,,,,,,0,RF,A2,A2   ,A1,77,M,,N,,,,,,,Y,,,L6L,A6
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,41,F,,N,,Y,,,,,,,,L5R,A4
A1,A4,,A1,,A2,,,,,,0,RF,A1,A2   ,A2,76,F,,N,,,,,,,Y,,,L5M,A6
A3,A3,,A5,A3,A3,,,,,,0,RF,A2,A2   ,A1,53,F,,N,,,,,,,Y,,,L7p,A5
A1,-oth-,All of the above,A2,,A3,,,,,,0,RF,A2,A2   ,A2,84,F,,N,,,,,Y,,,,,L6L,A6
A1,A3,,A2,,A2,,,,,,0,RF,A1,A2   ,A2,,M,,,,,,,,,,,,L5L,
A3,A5,,A4,A2,A4,,,,,,0,RF,A2,A1   ,A1,74,F,,N,,,,,,,Y,,,L7M,A6
A1,A2,,A4,,A1,,,,,,0,RF,A1,A2   ,A1,87,M,,N,,,,,,,Y,,,L6H,A6
A1,,,A2,,A3,,,,,,0,RF,A2,A2   ,A2,85,F,,N,,,,,,,Y,,,,A6
A2,-oth-,Feel supported as I struggle to be a good caregiver for my loved one.,A2,A1,RF,,,,,,0,RF,RF,RF   ,A2,65,F,,N,,,,,,,,,Y,L7G,A6
A1,A3,,A5,,A3,,,,,,0,RF,A2,A2   ,A1,86,M,,DK,,,,,,,Y,,,l6l,A6
A2,A5,,A4,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,84,F,,N,,,,,,,,,,L5M,A6
A1,A5,,A5,,A3,A3,A3,A3,A4,A3,16,High,A2,A2   ,A1,73,F,,N,,,,,,,,,Y,L6V,A6
A3,A3,,A4,A2,A3,A3,A2,A3,A2,A2,12,Mid,A2,A1   ,A1,70,F,,RF,,,,,,,,Y,,L5M,A6
A1,A5,,A4,,A2,A2,RF,A3,RF,RF,5,Low,A1,A2   ,A1,,F,,,,,,,,,,,,L5M,
A1,A5,,A4,,A2,A2,A2,RF,A3,RF,7,Low,A1,A2   ,A1,69,F,,N,,,,,,,,,Y,L5M,A6
A2,A1,,A4,A3,A2,A4,A3,A3,A3,A3,16,High,A1,A2   ,A1,63,F,,,,,,,,,,,,,A5
A1,A5,,A2,,A2,RF,RF,A3,RF,A3,6,Low,A1,A2   ,A2,69,F,,N,,,,,,,,,Y,L5M,A6
A3,A6,,A5,,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,,F,,,,,,,,,,,,M9N,
A1,A4,,A2,,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A2,55,NB,,N,,,,Y,,,,,,,A5
A1,A5,,A4,,A3,A4,A3,A3,A3,A4,17,High,A2,A2   ,A1,72,F,,N,,Y,,,,,,,,L5M,A6
A1,A6,,,,A1,A2,A2,A2,A2,A2,10,Mid,A1,A2   ,RF,71,F,,N,,,,,,,Y,,,,A6
A1,A6,,,,A1,A2,A2,A2,A2,A2,10,Mid,A1,A2   ,RF,71,F,,N,,,,,,,Y,,,L9N,A6
A3,A4,,A5,A4,A3,,,,,,0,RF,A2,A2   ,A1,73,F,,N,,,,,,,Y,,,L7M,A6
A1,A5,,A4,,A3,,,,,,0,RF,A2,A2   ,A1,55,F,,N,,Y,,,,,,,,L5v,A5
A1,A4,,A2,,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A2,55,M,,N,,,,Y,,,,,,L5G,A5
A3,A5,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,57,F,,DK,,,,,,,,,,,A5
A1,A4,,A5,,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,28,F,,N,,,,,,,Y,,,N2A,A4
A1,A4,,A4,,A4,,,,,,0,RF,A2,A2   ,A1,28,F,,N,,,,,,,Y,,,N2A,A4
A1,A6,,A4,,A2,,,,,,0,RF,A1,A2   ,A1,83,F,,N,,,,,,,Y,,,L7P,A6
A1,-oth-,Invoke. Imagination,A2,,A2,A3,,A3,A2,A3,11,Mid,A1,A2   ,A2,,,,,,,,,,,,,,,
A1,A6,,A2,,A2,A4,A4,A4,A4,A4,20,High,A1,A2   ,A2,,M,,,,,,,,,,,,L9G,
A2,A3,,A4,A3,A4,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,40,F,,N,,,,,Y,,,,,,A4
A3,-oth-,"Feel less alone, have someone I can talk to about my problems and the emotional support and guidance with my experience.",A4,A1,A2,A3,A3,A3,A3,A4,16,High,A1,A1   ,A1,31,F,,N,,Y,,,,,,,,L6V,A4
A2,-oth-,have people to talk to about dementia,A5,A1,A4,,,,,,0,RF,A2,A1   ,A1,60,F,,N,,,,,,,Y,,,L7M,A5
A1,A5,,A1,,A2,A2,A2,A2,A2,A2,10,Mid,A1,A2   ,A2,41,F,,N,,,,,Y,,,,,L9c,A4
A3,A2,,A5,A2,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,37,F,,N,,,,,,,Y,,,L9C,A4
A3,A6,,A4,A1,A2,A3,A3,A3,A3,A3,15,High,A1,A1   ,A1,31,F,,N,,Y,,,,,,,,L6V,A4
A3,A2,,A5,A3,A4,A4,A4,A4,A4,A1,17,High,A2,A1   ,A1,37,F,,N,,,,,,,Y,,,L9C,A4
A2,A6,,A2,A3,A2,A2,A2,A2,A2,A2,10,Mid,A1,A2   ,A2,62,M,,RF,,,,,,,,,Y,n3p,A5
A1,A4,,,,A2,A1,A3,A3,A2,A3,12,Mid,A1,A2   ,RF,38,F,,N,,,,,Y,,,,,L4G,A4
A1,A4,,A2,,A2,,,,,,0,RF,A1,A2   ,A2,75,F,,N,,,,,,,Y,,,L5M,A6
A1,A3,,A1,,A1,,,,,,0,RF,A1,A2   ,A2,75,F,,N,,,,,,,Y,,,L5M,A6
A1,A4,,,,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,RF,27,F,,N,,,,,,,Y,,,L9N,A4
A1,A6,,RF,,RF,A4,A4,A4,A4,A3,19,High,RF,RF   ,RF,48,F,,N,,,,,,,Y,,,N1E,A5
A1,A4,,A4,,A3,RF,RF,RF,RF,RF,0,RF,A2,A2   ,A1,21,M,,N,Y,,,,,,,,,,A3
A3,A4,,A5,A1,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,27,F,,N,,,,,,,Y,,,L4P,A4
A2,A2,,A2,A2,A3,,,,,,0,RF,A2,A1   ,A2,73,F,,N,,,,,,,Y,,,M6H,A6
A1,A5,,A2,,A3,,,,,,0,RF,A2,A2   ,A2,77,F,,N,,,,,,,Y,,,m4r,A6
A2,A5,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,75,F,,N,,,,,,,Y,,,M4E,A6
A2,A5,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,75,F,,N,,,,,,,Y,,,M4E,A6
A1,A5,,A2,,A2,,,,,,0,RF,A1,A2   ,A2,70,F,,N,,Y,,,,,,,,M4P,A6
A2,-oth-,To talk about the film featured with others and at times with producers,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,77,F,,N,,,,,,,Y,,,M4R,A6
A2,A3,,A2,A1,A2,,,,,,0,RF,A1,A1   ,A2,61,F,,N,,,,,,,Y,,,M4B,A5
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,65,F,,N,,,,,,,Y,,,M5M,A6
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,65,F,,N,,,,,,,Y,,,M5M,A6
